,Title,Abstract,Ranking
10,SUBLIMATOR HAVING A POROUS PLATE WITH INTEGRAL PRIMARY AND SECONDARY HEAT TRANSFER SURFACES,A sublimator (10) includes a porous plate (22) having a first surface (24) comprising a low pressure side (P) and a second surface (26) comprising a high pressure Hp side such that refrigerant is configured to move through the porous plate (22) from the high pressure Hp side to the low pressure side Lp. The second surface defines a primary heat transfer surface. The porous plate further includes a plurality of secondary heat transfer surfaces (30) integrally formed on the primary heat transfer surface to facilitate flow and evenly distribute refrigerant across the high pressure side of the porous plate.,3
11,A PLATE HEAT EXCHANGER,"A plate heat exchanger comprises first heat exchanger plates (1), second heat exchanger plates (2), first plate interspaces each formed by a primary pair (I) of one second heat exchanger plate and an adjacent first heat exchanger plate, and second plate interspaces each formed by a secondary pair (II) one first heat exchanger plate and an adjacent second heat exchanger plates. Each first heat exchanger plate comprises a peripheral rim (15) surrounding a first porthole (11) and defini ng an inlet channel (21) for a first fluid through the plate heat exchanger. Each secondary pair encloses an inlet chamber (30) adjacent to the peripheral rim. The inlet chamber is closed to the second plate interspaces, open to the inlet channel and communicates with one of the first plate interspaces via a nozzle member (31), thereby permitting a flow of the first fluid from the inlet channel to the first plate interspace.",5
12,FIN ELEMENT FOR A HEAT TRANSFERER,"A fin element for a heat exchanger, in particular for a heating, ventilation, and/or air conditioning system of a motor vehicle, with a plurality of connecting sections and of longitudinal sections, whereby in each case two adjacent longitudinal sections are connected to one another by a connecting section, whereby at least one of the longitudinal sections has gills formed by webs and slots, whereby at least one of the webs has a flared web surface, whereby the web surface is flared out from the at least one longitudinal section, whereby the web surface forms at least two surface sections arranged angled to one another.",1
13,FIBONACCI OPTIMIZED RADIAL HEAT EXCHANGER,"A heat transfer device for transferring heat energy to or from a gas or fluid flowing radially across a plurality of posts or tubes includes a plate having a plate surface. A plurality of posts or tubes are disposed on and protrude substantially perpendicular to the plate surface, characterized in that: at least about 50% of the plurality of posts or tubes are disposed according to a phyllotaxis layout wherein each arc of a plurality of phyllotaxis spiral arcs of the phyllotaxis layout terminates at different locations along an arc radius on the plate at a phyllotaxis arc termination radius less than a perimeter radius.",1
14,PORTABLE AIR-CONDITIONING DEVICE,"The invention relates to a portable air-conditioning device (1 ) comprising a body (2), a compressor (3) provided in the body (2) which enables the cooling cycle, a condenser (5) comprising a flow channel (4) through which a cooling fluid pressurized by the compressor (3) circulates and enabling heat dissipation to the outer environment by condensing the cooling fluid, a condenser chamber (6) in which the condenser (5) is placed, an evaporator (7) drawing heat from the ambiance by evaporating the cooling fluid and enabling cooling of the ambient air, an evaporator fan (8) delivering the air cooled by the evaporator (7) to the outer ambiance where the user is, and a condenser fan discharging to the outer environment air drawn from the outer environment and heated by passing it via the condenser (5) and heating it by means of the heat dissipated by the condenser (5).",1
15,COMPLEX PIN FIN HEAT EXCHANGER,A heat exchanger (20) has a plurality of outer walls (30) and at least one inner wall (32). A first fluid port (22) communicates a first fluid into a chamber (23) on one side of the at least one inner wall (32) and a second port (28) communicates a second fluid into a second chamber (29) on an opposed side of the at least one inner wall (32). A plurality of pins (42) extends from the inner wall in at least one of the chambers. The plurality of pins has a generally frusto-conical outer surface (48;56;68;76).,1
16,LOW TEMPERATURE RADIATOR,"The invention relates to a radiator, which is configured to transfer heat between a fluid in an interior thereof and a surrounding environment, wherein the radiator comprises an extruded body with at least four fluid channels therein and two closure elements, which are sealingly mounted against head ends of the extruded body and are configured to fluidly connect adjacent fluid channels in series. The radiator further comprises fins, which extend along sides of the extruded body and are configured to increase the interfacial area between the radiator and the environment. The invention further relates to a heating system, comprising a fluid feed, a fluid discharge and a radiator. The invention further relates to a climate system, comprising at least one radiator, wherein the climate system is configured to regulate the climate in a chamber by means of heating or cooling the chamber with the at least one radiator.",1
17,HEAT EXCHANGER,"A heat exchanger is provided, which comprises a number of heat exchanger plates provided with a pressed pattern of depressions and elevations. The depressions and elevations are adapted to contact depressions and elevations of neighbouring plates when the plates are stacked in a stack to form the heat exchanger such that interplate flow channels are formed between the plates. The heat exchanger further comprises a start plate (120) provided with a pressed pattern comprising depressions and elevations adapted to contact the depressions and elevations of a neighbouring heat exchanger plate such that an interplate flow channel is formed between the start plate (120) and the neighbouring heat exchanger plate. The start plate (120) further comprises fastening ears extending outside the start plate (120) and parallel to a plane of the start plate. The fastening ears are provided in the vicinity of a sealing between the start plate (120) and its neighbouring heat exchanger plate.",5
18,CHARGE-AIR COOLER PIPE OF A CHARGE-AIR COOLER,"The invention relates to a charge-air cooler pipe (1) of a charge-air cooler (2). It is essential to the invention that the charge-air cooler pipe (1) has, on at least one pipe wall (3), at least two elevations (6) extending transversely to the through-flow direction (4) and directed into a pipe interior (5).",1
19,INTERNAL HEAT EXCHANGER AND FREEZING CYCLE OF VEHICLE AIR CONDITIONING APPARATUS INCLUDING THE SAME,"An internal heat exchanger according to the invention is to be mounted in a freezing cycle of a vehicle air conditioning apparatus. The internal heat exchanger includes a heat exchanging unit having plate-like members laminated with one another, the heat exchanging unit performing a heat exchange via a cooling medium between a first heat exchanging path and a second heat exchanging path, a cooling medium outlet inlet part through which a first inflow path and a first outflow path pass, and an expansion device connection part through which a second outflow path and a second inflow path pass, in which the expansion device connection part has a first screw path-through part, the internal heat exchanger is detachably fixed to the expansion device by a fixing member including a screw head and a screw shaft, and the screw shaft is passed through the first screw path-through part and inserted into a fourth screw path-through part provided in the expansion device.",1
20,LOW FLOW AGENT CAB SOLDERING IN HEAT EXCHANGERS,A brazeable metal sheet material for heat exchanger components is used for producing a heat exchanger by a controlled atmosphere brazing process. The metal sheet material is made up of a core material with a brazing layer at least on one side and a corrosion-reducing intermediate layer arranged between the brazing layer and the core material. The core material consists of an Al3000-series alloy or an Al6000-series alloy having a magnesium content of 0.1% to 1.5% by weight. The brazing layer consists of an Al4000-series alloy having a maximum of 0.2% magnesium by weight. The corrosion-reducing intermediate layer consists of an Al1000-series alloy or an Al7000-series alloy having 0.1% to 1.5% magnesium by weight.,3
21,AIR DISTRIBUTOR AND VEHICLE COMPRISING THIS AIR DISTRIBUTOR,"This air distributor (1) has an exterior casing defining an interior volume, an air inlet (4) opening into this interior volume, several air outlets (4) intended to convey air from the interior volume towards the cylinders of an engine, and a heat exchanger (8) arranged in the interior volume. The heat exchanger (8) comprises a stack of plates (10) of plastic material where adjacent plates (10) are arranged so as to define a set of intermediate spaces comprising closed intermediate spaces (12) in fluid communication to enable circulation of fluid through the stack of plates (10), and open intermediate spaces (14) configured to enable a passage of air through the stack of plates (10) from the air inlet (4) to the air outlets (6).",1
22,TEMPERATURE-CONTROL DEVICE WITH SPRING ELEMENT,"The invention relates to a temperature-control device for cooling or heating a heat exchanger liquid. The invention is also directed to an oil cooler and to a hydraulic system having a temperature-control device according to the invention and to an internal combustion engine having a hydraulic system according to the invention, to an oil cooler according to the invention, and/or to a temperature-control device according to the invention. The temperature-control device (1) for cooling or heating a heat exchanger fluid has a base plate (200) and a heat exchanger element (800), wherein the base plate (200) has at least one throughflow opening (2) as an inlet or outlet for the heat exchanger fluid. Furthermore, said temperature-control device is characterized by a spring element (100) which has a spring plate (110) and a holding region (120) for the spring plate (110), which holding region is connected to the spring plate (110) and surrounds the latter at least in regions; a spring plate seat for abutment for the spring plate, and possibly a receiving region for receiving the spring element (100) in and/or adjacent to the base plate (200), wherein the spring plate (110) is, in a projection of the spring plate (110) perpendicular to the areal extent thereof, arranged within the throughflow opening (2).",1
23,HEAT EXCHANGER WITH INTERLEAVED PASSAGES,A heat exchanger includes first fluid passages that each have a first inlet (14) that communicates into a first core passage and then a first outlet (18). The first inlet has a first inlet cross-sectional perimeter. The first core passage has a first core cross-sectional perimeter. Second fluid passages are interleaved with the first fluid passages. Each of the second passages have a second inlet (22) that communicates into a second core passage and then a second outlet (26). The second inlet has a second inlet cross-sectional perimeter. The second core passage has a second core cross-sectional perimeter. The first and second core cross-sectional perimeters are larger than their respective first and second inlet cross-sectional perimeters. The first and second core passages are undivided from their respective first and second inlets to their respective first and second outlets.,1
24,THERMAL ENERGY DISTRIBUTION NETWORK,"The invention relates to a thermal energy exchange network (100) which includes at least one main circuit (110) that comprises at least one pipe (111) arranged between the intake point (112) and the outlet point (113) which are placed at separate locations of a water supply (140). The thermal energy storage and/or withdrawal area (130) contains at least the main circuit 110 with the pipe (111) thereof, which is unique, in this case. A plurality of secondary circuits (150), respectively assigned to at least one or to a plurality of users (160) of thermal energy, are grafted onto the main circuit (110) via a heat exchanger (170). Each secondary circuit (150) includes a loop of pipes (120) with an outward pipe (121) and a return pipe (122) which are connected to a heat exchanger (170). The users are connected individually to the corresponding secondary circuits (150), via a heat pump (151).",1
25,REINFORCED WATER CHAMBER HEATING DEVICE,"A reinforced water chamber heating device (1) has a body (2) made of a heat conducting material, for example aluminium, comprising an inner chamber (3) in which, when in use, a heating liquid circulates and connections (16) communicating with the chamber (3) and extending from the body (2); inside the chamber (3) there are ties (33) which extend between a pair of opposite walls (24, 25) of the chamber (3) and are integral with respective inner surfaces (26, 27) of both of the walls (24, 25).",5
26,HEAT EXCHANGER-ACCUMULATOR,"The invention relates to a heat exchanger comprising a first free space (7) for a first fluid (3), a thermally conductive wall (11) which, at least locally, delimits said first free space (7), in such a way that an exchange of heat can occur between the first fluid and the thermally conductive wall (11) which is hollow and encloses a material (13) for storing thermal energy by accumulation of latent heat, by heat exchange with at least the first fluid. The first free space (7) is divided into at least two separated channels (7a, 7b) in which two streams of the first fluid (3) can circulate at the same time but separately, the thermally conductive wall (11) which encloses the thermal energy storage material (13) being interposed between the two channels (7a, 7b).",3
27,METHOD FOR HEAT EXCHANGE AND CONDITIONING OF A HEAT EXCHANGER,"The invention relates to a method for heat exchange in which: - a) at a first time, in a thermal energy accumulator (260), an at least partially previously accumulated thermal energy is discharged into a first fluid (3), by heat exchange, - b) then, at a second later time, when the first fluid (3) has been heated to a higher temperature than the temperature of a second fluid (5), the second fluid (5) receives thermal energy by heat exchange with said first fluid (3) which then circulates on the other side of a first wall (11), which wall prevents the first and second fluids (3, 5) from mixing.",1
28,COUNTER-FLOW CERAMIC HEAT EXCHANGER ASSEMBLY AND METHOD,"A heat exchanger assembly embodiment includes a plurality of laminated ceramic tape layers (60) having at least one hole (62) surrounded by at least one tape remainder portion (64). The plurality of layers is arranged in a build direction defined parallel to a counter-flow plane. Each laminated ceramic tape layer is stacked and sintered to define a ceramic core section (12) integrally formed with a first ceramic manifold (26) and a second ceramic manifold (28). The ceramic core section of the assembly includes a plurality of spaced apart counter-flow plates stacked along a stacking direction normal to the counter-flow plane and the build direction, defining a plurality of flow passages parallel to the counter-flow plane. Each flow passage is in communication with the first manifold and the second manifold. A plurality of counter-flow fins (42) is disposed in at least one of the plurality of flow passages, between adjacent ones of the plurality of counter-flow plates (40).",3
29,AVIATION VALVE AND GAS TURBINE ENGINE WITH SAME,A valve 110 and a heat exchanger apparatus 50 for a gas turbine engine 10 include a valve body 110 having a valve seat 124 and an actuation component 116 including a plate 118 formed from a set of metal layers and responsive to a change in at least one of a thermal condition and a pressure exerted thereon such that the plate 118 moves and the valve 110 moves between an opened and a closed position where a portion of the plate 118 engages with the valve seat 124.,1
30,HEATING DEVICE AND MODULAR HEATING SYSTEM THAT CAN BE ASSEMBLED IN MODULAR FORM IN THE INSTALLATION STEP,"A liquid circulation heating device (1) for modular assembly in the installation step, comprises at least one body (2) provided with an inner chamber (3), in which a heating liquid circulates, and with a front plate (4), having an outer face (9) facing in use the space to heat and defining a first heat exchange surface (10); and connections (16) communicating with the chamber (3) and extending from the body (2); the front plate (4) delimits the chamber (3) at the front and has an inner face (8), opposite to the outer face (9) and facing the chamber (3) and wet by the heating liquid; and the connections (16) project from a rear plate (5), opposite to the front plate (4) and delimiting the chamber (3) at the back; and the connections (16) are substantially perpendicular to said rear plate (5).",5
31,HIGH EFFICIENCY HEATING DEVICE,"A high efficiency heating device (1) has a body (2) comprising an inner chamber (3) in which a heating liquid circulates; connections (16) communicating with the chamber (3) and extending from the body (2); and a front plate (4) having an outer face (9) facing in use the space to heat and defining a main front heat exchange surface (10) of the device (1); the chamber (3) is delimited by a pair of main walls (24, 25) facing each other and by a closed loop perimeter edge (7) connecting the main walls (24, 25); the chamber (3) has a ratio between surface and volume, expressed in dm2 and dm3, respectively, greater than or equal to 23.",5
32,MODULAR ANNULAR HEAT EXCHANGER,"An annular duct including a modular annular heat exchanger for a gas turbine engine is provided, where the modular annular heat exchanger includes a plurality of radial modules in circumferentially adjacent arrangement. Each radial module includes a cooled fluid inlet plenum segment, a plurality of blades, and a cooled fluid outlet plenum segment. The plurality of blades is configured in circumferentially adjacent arrangement and defines an angular space that is conformal between each circumferentially adjacent blade. The cooled fluid inlet plenum segment, the plurality of blades, and the cooled fluid outlet plenum segment are in serial axial flow arrangement and define an internal cooled fluid flowpath and an external cooling fluid flowpath parallel to the internal cooled fluid flowpath. Each radial module further includes an inner annular ring segment and an outer annular ring segment. The inner annular ring segment and the outer annular ring segment define a plurality of blade retainers. The blade retainers define an axial, radial, and circumferential position of the blades, the cooled fluid inlet plenum segment, and the cooled fluid outlet plenum segment.",1
33,HEAT EXCHANGER WITH REMOVABLE CORE ASSEMBLY,"A heat exchanger (100) is having: a housing (120) having a first housing inlet (122), a second housing inlet (124), a first housing outlet (128), and a second housing outlet (126); and a core assembly (153) disposed within the housing (120) and removably connected to the housing (120), the core assembly (150) comprises: a first fluid passage (153) fluidly connecting the first housing inlet (122) to the first housing outlet (128) and a second fluid passage (163) fluidly connecting the second housing inlet (124) to the second housing outlet (126). The first fluid passage (153) is thermally connected to the second fluid passage (163).",1
34,PLATE HEAT EXCHANGER MODULE FOR WHICH THE CHANNELS INTEGRATE AS INPUT A UNIFORM FLOW DISTRIBUTION ZONE AND A FLUID BIFURCATION ZONE,"The invention relates to a heat exchanger module with longitudinal axis (X) comprising a stack of plates (1, 2) defining at least two fluid circuits, at least a portion of the plates each comprising fluid circulation channels each delimited, at least in part, by a groove. According to the invention, a communication is produced between the channels within a same plate and between all the plates of a same circuit, in a feed or pre-collector zone, with a succession of channel groupings, two-by-two, in the form of bifurcations.",5
35,"METHOD FOR PRODUCING AMMONIA, AND AMMONIA SYNTHESIS CONVERTER","The invention relates to a method for producing ammonia in an ammonia synthesis converter, wherein first a reactant gas flow is conducted through a first catalyst bed (16), in which a reaction of the reactant gases occurs, wherein a heat exchanger (17) is associated with the first catalyst bed, and thereafter the process gas flow is conducted through a second catalyst bed (20), in which a further reaction of the reactant gases occurs, wherein a further heat exchanger (19) is associated with the second catalyst bed, wherein the reactant gas flow is fed to the ammonia synthesis converter in at least two partial flows via inlets (11, 18) that are separated from each other, in order to influence the temperature of the process gas flows in the ammonia synthesis converter, and wherein at least one partial flow of the reactant gases is made to flow through one of the heat exchangers as a cooling medium in order to effect heat exchange with a process gas flow heated by the reaction and flowing through the heat exchanger, and wherein according to the invention the process gas flow flowing out of the second catalyst bed (20) is then conducted through a third catalyst bed (26). The invention further relates to an ammonia synthesis converter (10) that is used in the method mentioned above. Space-saving plate heat exchangers are preferably used, which require a smaller volume at the given heat rate and thus make it possible to use the freed volume for additional catalysts and thus to increase the production.",1
36,SYNTHESIS DEVICE AND METHOD FOR PRODUCING A PRODUCT,"The invention relates to a synthesis device, in particular an ammonia synthesis converter, the synthesis device (13) comprising the following components: a) a pressure vessel (14), which comprises an inlet (15) and an outlet (16) for a fluid; b) at least one catalyst bed (9), which is located inside the pressure vessel (14); c) and at least one heat exchanger (7, 8), the heat exchanger (7, 8) being arranged in the flow path of the fluid between the inlet (15) of the pressure vessel (14) and the catalyst bed (9) such that the fluid flowing into the catalyst bed (9) is heated by the fluid flowing out of the catalyst bed (9) and the heat exchanger also being in the form of a plate heat exchanger (7, 8).",1
37,SYNTHESIS DEVICE AND METHOD FOR PRODUCING A PRODUCT,"The invention relates to a synthesis device, in particular an ammonia synthesis converter, in which at least one plate heat exchanger is used as a heat exchanger (7, 7') and is located in a pressure vessel (14) above a first catalyst bed (9). The heat exchanger (7, 7') comprises a plate stack consisting of a plurality of, for example, circular-ring-shaped or circular-segment-shaped plates which are arranged parallel to one another about a common longitudinal axis, wherein there are first flow channels for a first fluid, which run between the plates in the transverse direction or in the radial direction. The heat exchanger also comprises a flow pipe for a second fluid, said pipe running along the longitudinal axis in such a manner that the plates surround the flow pipe concentrically.",1
38,"PLATE HEAT EXCHANGER, SYNTHESIS DEVICE, AND METHOD FOR PRODUCING A PRODUCT","The invention relates to a plate heat exchanger (7) having a plurality of plates (20), wherein a permeable intermediate space is formed between each pair of adjacent plates (20), wherein permeable intermediate spaces of a first group (5) are in fluid communication with a common first fluid duct (1) extending perpendicularly to the plates, wherein the intermediate spaces of the first group (5) are sealed off in such a way that a first fluid is prevented from flowing in and/or out in a direction parallel to the plates (20), and wherein permeable intermediate spaces of a second group (6) have lateral inflow openings (4) in order to enable a second fluid to flow into the intermediate spaces of the second group (6) from an inflow direction arranged parallel to the plates.",1
39,AIRCRAFT ELECTRONICS THERMAL REGULATION SYSTEM,"An electronics cooling system (100) for an aircraft includes a heat exchanger (101) comprising a coolant circuit (103), an air circuit (105) and a fuel circuit (107) such that each of the circuits is in thermal communication with the other circuit. The coolant circuit (103) is in thermal communication with one or more aircraft electronics. The air circuit (105) is fluidly connectable with at least one air source,.The fuel circuit (107) is fluidly connectable with a fuel tank (111) between the fuel tank (111) and an engine of the aircraft and/or fluidly connectable with a fuel loop that returns to the fuel tank (111).",1
40,MOTOR VEHICLE LIGHT MODULE WITH COOLING MEMBER,"A lighting module including a base, on which there are mounted at least one light source and a cooling member including at least two fins joined together elastically and each having at least one heat-sink wall and a connection portion thermally connected to the base by a thermal interface. The module includes at least one stop piece able to come into contact with part of a fin when this fin is brought elastically closer to another fin.",1
41,HEAT EXCHANGER AND VEHICLE COMPRISING SAID EXCHANGER,"The invention relates to a heat exchanger (1) comprising: (i) a set (2a) of plastic plates (4), having two end plates (4a) and a plurality of juxtaposed intermediate plates (4b) extending between the two end plates (4a), a set of first spaces (6) and, partitioned from the set of first spaces (6a), a set of second spaces (6b) defined by the adjacent plates (4), the first spaces (6) being intended to allow a first fluid to circulate between the plates (4), and the second spaces (6b) being intended to allow a second fluid to circulate between the plates (4); and (ii) a base portion (8, 70) against which the two end plates (4a) are attached, the plurality of plates (4b) extending in a curved fashion between the two end plates (4a).",1
42,HEAT EXCHANGER COMPRISING A DEVICE FOR DISTRIBUTING A LIQUID/GAS MIXTURE,"The invention relates to a plate heat exchanger (1) comprising a first series of passages (10) for carrying at least one refrigerant (F1) and a second series of passages (20) for carrying at least one thermogenic fluid (F2), each passage (10, 20) being defined between two consecutive plates (2) and extending parallel to a longitudinal axis (z), at least one mixing device (3) arranged in at least one passage (10) of the first series, the mixing device (3) being configured to receive a liquid phase (61) and a gaseous phase (62) of the refrigerant (F1) and to distribute a mixture of said phases (61, 62) in the at least one passage (10). According to the invention, at least one passage (20) of the second series adjacent to the at least one passage (10) of the first series comprises a heat exchange structure divided, along the longitudinal axis (z), into at least one first portion (100) and one second portion (200) juxtaposed along the longitudinal axis (z), the second portion (200) extending opposite at least one portion of the mixing device (3) and being configured so as to have a lower heat-exchange coefficient than the heat-exchange coefficient of the first portion (100).",1
43,"COLLECTOR BOX, SEALING MEANS AND CORRESPONDING HEAT EXCHANGER","The invention relates to a heat exchanger collector box (3) comprising: - a collector plate (11) having holes respectively lined by collars (19) for passage of the ends of heat exchange tubes (7), - a sealing means (13), and - a cover closing the collector box (3). According to the invention, the sealing means (13) comprises at least one support face (29) and is arranged on the collector plate (11) such that: - the support surface (29) is arranged abutting and under tension against one of the collars (19) when the sealing means (13) is assembled with the collector plate (11), and - in the compressed state, the sealing means (13) is kept away from the ends of the heat exchange tubes (7) by interposing collars (19) between the sealing means (13) and the ends of said tubes (7).",1
44,"COLLECTOR PLATE, CORRESPONDING HEADER BOX AND CORRESPONDING HEAT EXCHANGER","The invention relates to a collector plate (11) for heat exchanger (1), the collector plate (11) comprising: _ a peripheral groove (21) exhibiting a bottom (22), _ at least one upper step (25) protruding with respect to the bottom (22) of the said groove (21) over a predefined height (H1), and _ at least at one longitudinal end of the collector plate (11) an intermediate portion (27) between the upper step (25) and the said groove (21). According to the invention, at the said at least one longitudinal end of the collector plate (11), the said groove (21) exhibits an interior wall (23) at least one portion of which connects the intermediate portion (27) to the bottom (22) of the said groove (21) and extends over a height (H2) that is non-zero and less than the height (H1) of the upper step (25). The invention also relates to a corresponding header box (3) and to a corresponding heat exchanger (1).",1
45,SOLAR COLLECTOR,"A solar collector, which can be used for heating interiors, supplying hot water and heating process water, comprises: an enclosure (1) made of a composite polymer material, a transparent coating (2), and a heat exchanger (3) provided with channels for a heat-transfer agent. The transparent coating (2) and the heat exchanger (3) are combined with each other along the perimeter by a distance frame (4) to create a hermetically sealed heating package, and the air is released from the inner space (6) of the heating package to obtain vacuum, or the air is replaced by an inert gas therein. The heat exchanger (3) is designed as a metal plate and inside it or on its surface, there are arranged tubes having channels for circulating a heat-transfer agent, which are combined to create a single closed system having an inlet and an outlet on the surface of the solar collector, the heat exchanger surface facing the sun is applied with a dark coating, and the heating package is arranged in the enclosure (1) made of a composite polymer material.",1
46,"A HEAT EXCHANGER PLATE, AND A PLATE HEAT EXCHANGER","A heat exchanger plate (1) for a plate heat exchanger comprises a heat exchanger area (4) extending in parallel with an extension plane and comprising a primary corrugation (10). The heat exchanger area comprises at least three sides (5, 6). A longitudinal central axis (x) extends in parallel with the extension plane through at least one of the sides. A plurality of portholes (9) extends through the heat exchanger area. An edge flange (8) extends outside and around the heat exchanger area along the sides. The edge flange is inclined in relation to the extension plane. The edge flange comprises a secondary corrugation (20) of ridges (21) and valleys (22).",5
