Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing

"ENTHALPY EXCHANGER ELEMENT, ENTHALPY EXCHANGER COMPRISING SUCH ELEMENTS AND METHOD FOR THEIR PRODUCTION","The present invention provides enthalpy exchanger elements (E, E') and enthalpy exchangers comprising such elements. Furthermore, the invention discloses a method for producing such enthalpy exchanger elements and enthalpy exchangers, comprising the steps of a) providing an air-permeable sheet element (1); b) laminating at least one side (1 a, 1 b) of the sheet element (1) with a thin polymer film (3, 4) with water vapor transmission characteristics; and c) forming the laminated sheet element (1) into a desired shape exhibiting a three-dimensional corrugation pattern (5, 5, ...).","EP3276292A1 2018-01-31
","ZEHNDER GROUP INT AG
SYMPATEX TECH GMBH
",25/07/2016,"EP3276292A1 2016-07-25
","BIER CHRISTIAN
BRANDT STEFAN
HIRSCH CHRISTIAN
MAYERSHOFER MARTIN
","F28F21/06
F28D21/00
F28F3/02","F28D21/0015
B29C43/00
B29C51/00
F28F3/048
F28F21/065
F28F2245/02
","EP3276292A1
WO2018020392A1
",,1,

INDUCED DRAFT AIR-COOLED CONDENSER,The present invention relates to an air-cooled condenser street for condensing exhaust steam from a turbine. The air-cooled condenser street comprises one or more rows of V-shaped heat exchangers. Each row comprises a main steam manifold to introduce exhaust steam into tube bundles that are placed in an inclined position such that condensate formed in the bundles flows back by gravitation to the main steam manifold. Top steam manifolds are connected to the upper end of respectively each of the tube bundles of the air-cooled condenser street. The series of parallel top steam manifolds are forming a support assembly for supporting one or more fan decks. The fan decks support a plurality of fans to induce an air draft in the V-shaped heat exchangers.,"EP3287732A1 2018-02-28
","SPX DRY COOLING BELGIUM SPRL
",24/08/2016,"EP3287732A1 2016-08-24
","DELPLANQUE CHRISTOPHE
VOUCHE MICHEL
BADIN FRANCIS
","F28F9/007
F28B1/06
F28B9/00","F28B1/06
F28B9/00
F28F9/007
","EP3287732A1
WO2018037043A1
",,1,

PLATE HEAT EXCHANGER FOR SOLAR HEATING,"Plate heat exchanger (1, 1') for solar heating comprising a plurality of channels (4) extending between an inlet (5) and an outlet (6) for conducting a heat transferring fluid. The plurality of channels (4) are defined between a first plate (2) and a second plate (3), the first and second plates (2, 3) being formed by stainless steel. Each of the plurality of channels (4) has a single-curved extension between the inlet (5) and the outlet (6) as seen in a plane A corresponding to the major surface extension of the first and second plates (2, 3). Each of the plurality of channels (4) has along at least a portion of its longitudinal extension a triangular or a chamfered triangular cross-section or a parallelogram or a chamfered parallelogram cross-section. The side walls (10) of two adjacent channels (4) define an angle a corresponding to, or smaller than, 100 degrees and more preferred smaller than 90 degrees.","EP3290822A1 2018-03-07
","ALFA LAVAL CORP AB
",30/08/2016,"EP3290822A1 2016-08-30
","SJ…DIN PER
NILSSON MATS
","F28F3/04
F28F3/12","F24J2/204
F24J2/205
F28F3/046
F28F3/12
","EP3290822A1
WO2018041715A1
",,3,

"DISPOSITIF DE REFROIDISSEMENT DÕUNE UNITE DE STOCKAGE DÕENERGIE, ENSEMBLE ASSOCIE.","The invention relates to a device (1) for cooling an electrical energy-reserve unit, the device comprising at least one tube heat exchanger (3) and one plate heat exchanger (4), the tube heat exchanger (3) and the plate heat exchanger (4) being in fluid communication so as to form a circuit for circulating a cooling fluid.","FR3054306A1 2018-01-26
","VALEO SYSTEMES THERMIQUES
",25/07/2016,"FR3054306A1 2016-07-25
","IBRAHIMI MOHAMED
POURMARIN ALAIN
BARRE BORIS
ROBILLON LIONEL
MULLER JEAN DAMIEN
","F28F1/00
F28F3/00
F28F9/26","F28D1/0461
H01M10/625
H01M10/6556
","FR3054306A1
WO2018020108A1
",,1,

REFRIGERATION SYSTEM WITH CENTRALISED CONDENSATION HEAT REMOVAL,"The invention relates to commercial refrigeration equipment, namely commercial refrigerating facilities with a built-in refrigerating unit equipped with a liquid cooling condenser. A proposed refrigeration system is made with centralised condensation heat removal. For this purpose, the known system comprising at least one refrigerating device (1) with a refrigerant circulation loop and a condenser unit with a compressor and a condenser of the refrigerating device uses, according to the invention, a liquid condenser located in the refrigerating device and coupled to at least one closed liquid condensation heat removal loop comprising a means of heat-transfer agent circulation in a liquid loop and a means of heat-transfer agent refrigeration (3) coupled by a heat-transfer agent circulation pipeline (12). This liquid condenser is designed as a plate heat exchanger capable to pass the refrigerant and the heat-transfer agent simultaneously. The claimed invention allows to reduce heat emissions into a room, where refrigerating devices of the system are located, the level of noise from refrigerating devices, system operating costs, in particular, costs associated with installation, materials for the system, system maintenance, etc., to simplify system maintenance and operational flexibility for the purposes of refrigeration, and to reduce negative impact of the system operation on the environment.","WO2018044250A1 2018-03-08
","JOINT UKRAINIAN POLISH ENTERPRISE IN THE FORM THE OF COMPANY WITH LTD RESPONSIBILITY MODERN EXPO
",02/11/2016,"UA201609277A 2016-09-05
","LUKIANCHUK VIKTOR OLEKSANDROVICH
SOLOVIOV VIKTOR DMITROVICH
",F25B39/04,"F25B39/04
F25B2339/047
","WO2018044250A1
",,1,

Dispositif de distribution d'_nergie thermique pour site urbain ou industriel.,"The thermal energy exchange network (100) comprises at least one main circuit (110) and at least one secondary circuit (120) for distributing heat energy through a heat-transfer fluid. The said secondary circuit (150) is broken down into at least two complementary sub-circuits (150a and 150b) which are interconnected by a heat exchanger (170) which provides thermal coupling without hydraulic connection. The sub-circuits (150a and 150b), the number of which is dependent on the configuration of the installation terrain, are coupled in series, respectively via heat exchangers (170) to avoid overpressure in the network in the event of the installation terrain being extremely uneven.","CH712665A1 2018-01-15
","CUENI MARCEL
GEINOZ FRAN‚OIS IGNACE
",13/07/2016,"CH712665A1 2016-07-13
","FRAN‚OIS GEINOZ
DAVID ORLANDO
","F24D10/00
F28D9/00","F24D10/00
F24D10/003
F24D2200/13
F25B7/00
","CH712665A1
WO2018010035A1
",,1,

HEADER FOR A HEAT EXCHANGER,"A heat exchanger (20) having a first core (22) with a first end (40) and a second end (42) and having a first plurality of hot flow channels (48) fluidly isolated from a first plurality of cool flow channels (50). The first plurality of hot flow channels (48) and the first plurality of cool flow channels (50) can be arranged in a first checkerboard pattern. The heat exchanger (20) also having a first header (24) connected to the first end (40) of the first core (22), a first hot flow inlet section (60) connected to the first plurality of hot flow channels (48), and a first curved portion (62) with a first inner hot flow route that is longer than a first outer hot flow route. The first header (24) also having a first cool flow outlet section (70) connected to the first plurality of cool flow channels (50) with the first cool flow outlet section (70) being fluidly isolated from the hot flow inlet section (60).","EP3258204A1 2017-12-20
","HAMILTON SUNDSTRAND CORP
",31/03/2017,"US2017363361A1 2016-06-17
","TURNEY JOSEPH
","F28F9/02
F28D7/00
F28D9/00
F28F7/02","F28D9/0062
F28D7/0025
F28D9/0093
F28F7/02
F28F9/02
F28F9/0202
F28F9/0214
F28F9/0268
F28F2009/0287
F28F2009/029
F28F2210/08
F28F2250/10
","EP3258204A1
US2017363361A1
",,3,

SUBLIMATOR HAVING A POROUS PLATE WITH INTEGRAL PRIMARY AND SECONDARY HEAT TRANSFER SURFACES,A sublimator (10) includes a porous plate (22) having a first surface (24) comprising a low pressure side (P) and a second surface (26) comprising a high pressure Hp side such that refrigerant is configured to move through the porous plate (22) from the high pressure Hp side to the low pressure side Lp. The second surface defines a primary heat transfer surface. The porous plate further includes a plurality of secondary heat transfer surfaces (30) integrally formed on the primary heat transfer surface to facilitate flow and evenly distribute refrigerant across the high pressure side of the porous plate.,"EP3252399A1 2017-12-06
","HAMILTON SUNDSTRAND CORP
",06/04/2017,"US2017350626A1 2016-06-02
","STIEBER JESSE JOSEPH
",F25B19/00,"F25B19/00
B33Y10/00
B33Y80/00
F28D2021/0021
F28F3/04
F28F13/003
","EP3252399A1
US2017350626A1
",,"3
",

A PLATE HEAT EXCHANGER,"A plate heat exchanger comprises first heat exchanger plates (1), second heat exchanger plates (2), first plate interspaces each formed by a primary pair (I) of one second heat exchanger plate and an adjacent first heat exchanger plate, and second plate interspaces each formed by a secondary pair (II) one first heat exchanger plate and an adjacent second heat exchanger plates. Each first heat exchanger plate comprises a peripheral rim (15) surrounding a first porthole (11) and defini ng an inlet channel (21) for a first fluid through the plate heat exchanger. Each secondary pair encloses an inlet chamber (30) adjacent to the peripheral rim. The inlet chamber is closed to the second plate interspaces, open to the inlet channel and communicates with one of the first plate interspaces via a nozzle member (31), thereby permitting a flow of the first fluid from the inlet channel to the first plate interspace.","WO2017207292A1 2017-12-07
","ALFA LAVAL CORP AB
",18/05/2017,"SE1650749A1 2016-05-30
","DRAKARVE KERSTIN
MOHAMMADIAN MEHRDAD
","F28D9/00
F28F3/08
F28F9/02","F28D9/005
F28F3/086
F28F9/026
","WO2017207292A1
SE1650749A1
",,5,

FIN ELEMENT FOR A HEAT TRANSFERER,"A fin element for a heat exchanger, in particular for a heating, ventilation, and/or air conditioning system of a motor vehicle, with a plurality of connecting sections and of longitudinal sections, whereby in each case two adjacent longitudinal sections are connected to one another by a connecting section, whereby at least one of the longitudinal sections has gills formed by webs and slots, whereby at least one of the webs has a flared web surface, whereby the web surface is flared out from the at least one longitudinal section, whereby the web surface forms at least two surface sections arranged angled to one another.","EP3255369A1 2017-12-13
","MAHLE INT GMBH
",19/05/2017,"DE102016210159A1 2016-06-08
","DETTLING ELKE
K€LBER JOHANNES
KOHL MICHAEL
SEEWALD WOLFGANG
KRUMBACH KARL-GERD
","F28F1/12
F28D1/053","F28F3/027
B60H1/2225
B60H2001/2271
F28D1/053
F28D2021/008
F28D2021/0096
F28F1/128
F28F2215/08
H05B3/146
H05B2203/02
","EP3255369A1
DE102016210159A1
US2017356697A1
CN107478085A
",,1,

FIBONACCI OPTIMIZED RADIAL HEAT EXCHANGER,"A heat transfer device for transferring heat energy to or from a gas or fluid flowing radially across a plurality of posts or tubes includes a plate having a plate surface. A plurality of posts or tubes are disposed on and protrude substantially perpendicular to the plate surface, characterized in that: at least about 50% of the plurality of posts or tubes are disposed according to a phyllotaxis layout wherein each arc of a plurality of phyllotaxis spiral arcs of the phyllotaxis layout terminates at different locations along an arc radius on the plate at a phyllotaxis arc termination radius less than a perimeter radius.","EP3255370A1 2017-12-13
","AERCO INT INC
",29/05/2017,"US201662346085P 2016-06-06
","FIORITI GERALD A
MORGAN KYLE T
","F28F3/02
F28D7/16
F28D15/02
F28F13/18
H01L23/34","F28F13/06
F28D7/103
F28D7/16
F28D7/1607
F28D7/163
F28D15/02
F28D21/00
F28D2021/0029
F28F3/022
F28F13/185
F28F2210/10
F28F2245/00
H01L23/3677
H01L23/467
H01L23/473
","EP3255370A1
US2017350662A1
WO2017213949A1
",,1,

PORTABLE AIR-CONDITIONING DEVICE,"The invention relates to a portable air-conditioning device (1 ) comprising a body (2), a compressor (3) provided in the body (2) which enables the cooling cycle, a condenser (5) comprising a flow channel (4) through which a cooling fluid pressurized by the compressor (3) circulates and enabling heat dissipation to the outer environment by condensing the cooling fluid, a condenser chamber (6) in which the condenser (5) is placed, an evaporator (7) drawing heat from the ambiance by evaporating the cooling fluid and enabling cooling of the ambient air, an evaporator fan (8) delivering the air cooled by the evaporator (7) to the outer ambiance where the user is, and a condenser fan discharging to the outer environment air drawn from the outer environment and heated by passing it via the condenser (5) and heating it by means of the heat dissipated by the condenser (5).","WO2017216148A1 2017-12-21
","ARCELIK AS
",13/06/2017,"TR201608341A 2016-06-17
","ERDEM FUNDA
AKSOY ADEM
KURULAR SEMIH
COBAN BURAK
BALIOGLU ONDER
","F24F1/02
F24F5/00
F28D1/047
F28D20/00
F28D20/02
F28D21/00
F28F3/14","F24F1/025
F24F5/0021
F28D1/0477
F28D20/02
F28D20/021
F28D2020/0013
F28D2021/007
F28F3/14
F28F2275/14
","WO2017216148A1
",,1,

COMPLEX PIN FIN HEAT EXCHANGER,A heat exchanger (20) has a plurality of outer walls (30) and at least one inner wall (32). A first fluid port (22) communicates a first fluid into a chamber (23) on one side of the at least one inner wall (32) and a second port (28) communicates a second fluid into a second chamber (29) on an opposed side of the at least one inner wall (32). A plurality of pins (42) extends from the inner wall in at least one of the chambers. The plurality of pins has a generally frusto-conical outer surface (48;56;68;76).,"EP3258203A1 2017-12-20
","HAMILTON SUNDSTRAND CORP
",13/06/2017,"US2017356696A1 2016-06-13
","STRANGE JEREMY M
ZAFFETTI MARK A
","F28F3/02
F28F7/02
","F28F3/022
B23K26/342
B23P15/26
B33Y10/00
B33Y80/00
F28D9/0081
F28F7/02
F28F2215/10
","EP3258203A1
US2017356696A1
",,1,

LOW TEMPERATURE RADIATOR,"The invention relates to a radiator, which is configured to transfer heat between a fluid in an interior thereof and a surrounding environment, wherein the radiator comprises an extruded body with at least four fluid channels therein and two closure elements, which are sealingly mounted against head ends of the extruded body and are configured to fluidly connect adjacent fluid channels in series. The radiator further comprises fins, which extend along sides of the extruded body and are configured to increase the interfacial area between the radiator and the environment. The invention further relates to a heating system, comprising a fluid feed, a fluid discharge and a radiator. The invention further relates to a climate system, comprising at least one radiator, wherein the climate system is configured to regulate the climate in a chamber by means of heating or cooling the chamber with the at least one radiator.","WO2017204627A1 2017-11-30
","VAN HOLSTEIJN & KEMNA SPECIAL PRODUCTS B V
",19/05/2017,"NL2016820B1 2016-05-24
","KEMNA RENƒ BERTINUS JOANNES
VAN HOLSTEIJN ROBERTUS CORNELIS ADRIANUS
","F28F3/02
F24D19/00
F28D1/02
F28F1/02
F28F1/04
F28F1/12
F28F3/12
","F28D1/024
F24D19/0087
F24D2220/2027
F28D1/0246
F28D2021/0035
F28F1/022
F28F1/045
F28F1/126
F28F3/025
F28F3/12
F28F2220/00
F28F2255/16
","NL2016820B1
WO2017204627A1
",,1,

HEAT EXCHANGER,"A heat exchanger is provided, which comprises a number of heat exchanger plates provided with a pressed pattern of depressions and elevations. The depressions and elevations are adapted to contact depressions and elevations of neighbouring plates when the plates are stacked in a stack to form the heat exchanger such that interplate flow channels are formed between the plates. The heat exchanger further comprises a start plate (120) provided with a pressed pattern comprising depressions and elevations adapted to contact the depressions and elevations of a neighbouring heat exchanger plate such that an interplate flow channel is formed between the start plate (120) and the neighbouring heat exchanger plate. The start plate (120) further comprises fastening ears extending outside the start plate (120) and parallel to a plane of the start plate. The fastening ears are provided in the vicinity of a sealing between the start plate (120) and its neighbouring heat exchanger plate.","WO2017220489A1 2017-12-28
","SWEP INT AB
",19/06/2017,"SE1651022A 
SE334191B 2016-12-02
","DAHLBERG TOMAS
ANDERSSON SVEN
EKENBERG MARTIN
","F28D9/00
F16B45/00
F28F3/04
F28F9/02
","F28D9/005
F16B45/00
F28F3/046
F28F9/02
F28F2230/00
F28F2280/06
","WO2017220489A1
",,5,

CHARGE-AIR COOLER PIPE OF A CHARGE-AIR COOLER,"The invention relates to a charge-air cooler pipe (1) of a charge-air cooler (2). It is essential to the invention that the charge-air cooler pipe (1) has, on at least one pipe wall (3), at least two elevations (6) extending transversely to the through-flow direction (4) and directed into a pipe interior (5).","WO2018019484A1 2018-02-01
","MAHLE INT GMBH
",21/06/2017,"DE102016213949A1 2016-07-28
","DIETERLE STEFAN
STRIEGE HOLGER
PANTOW EBERHARD
EHMKE ALEXANDER
FEUERECKER G†NTHER
STRAUSS THOMAS
B†RCK CHRISTIAN
","F02B29/04
F28D21/00
F28F1/40
F28F1/42
F28F3/04
","F02B29/045
F28D7/16
F28D2021/0082
F28F1/40
F28F1/426
F28F3/042
F28F3/044
F28F19/006
","WO2018019484A1
DE102016213949A1
",,1,

INTERNAL HEAT EXCHANGER AND FREEZING CYCLE OF VEHICLE AIR CONDITIONING APPARATUS INCLUDING THE SAME,"An internal heat exchanger according to the invention is to be mounted in a freezing cycle of a vehicle air conditioning apparatus. The internal heat exchanger includes a heat exchanging unit having plate-like members laminated with one another, the heat exchanging unit performing a heat exchange via a cooling medium between a first heat exchanging path and a second heat exchanging path, a cooling medium outlet inlet part through which a first inflow path and a first outflow path pass, and an expansion device connection part through which a second outflow path and a second inflow path pass, in which the expansion device connection part has a first screw path-through part, the internal heat exchanger is detachably fixed to the expansion device by a fixing member including a screw head and a screw shaft, and the screw shaft is passed through the first screw path-through part and inserted into a fourth screw path-through part provided in the expansion device.","EP3260806A1 2017-12-27
","VALEO JAPAN CO LTD
",21/06/2017,"JP2017226295A 2016-06-21
","HIDEKI NAGANO
ARAKI DAISUKA
HAYASHI NAOTO
ETO YOSHIHISA
","F28F9/02
B60H1/32
F25B41/06
F28D9/00
F28D21/00
","F28F9/0253
B60H1/3227
F25B40/00
F25B41/062
F25B2500/18
F28D9/005
F28D2021/0068
F28D2021/008
F28F2275/20
","EP3260806A1
JP2017226295A
",,1,

LOW FLOW AGENT CAB SOLDERING IN HEAT EXCHANGERS,A brazeable metal sheet material for heat exchanger components is used for producing a heat exchanger by a controlled atmosphere brazing process. The metal sheet material is made up of a core material with a brazing layer at least on one side and a corrosion-reducing intermediate layer arranged between the brazing layer and the core material. The core material consists of an Al3000-series alloy or an Al6000-series alloy having a magnesium content of 0.1% to 1.5% by weight. The brazing layer consists of an Al4000-series alloy having a maximum of 0.2% magnesium by weight. The corrosion-reducing intermediate layer consists of an Al1000-series alloy or an Al7000-series alloy having 0.1% to 1.5% magnesium by weight.,"EP3269485A1 2018-01-17
","MODINE MFG CO
",22/06/2017,"DE102016008490A1 2016-07-14
","HOLMGREN MARKUS
FELDHEGE THOMAS
FRISCHKNECHT G†NTHER
","B23K1/00
","F28D9/005
B23K1/0018
B23K2201/14
F28D2021/0082
F28F19/06
F28F21/084
F28F2275/04
","EP3269485A1
DE102016008490A1
US2018017333A1
CN107621192A
",,3,

AIR DISTRIBUTOR AND VEHICLE COMPRISING THIS AIR DISTRIBUTOR,"This air distributor (1) has an exterior casing defining an interior volume, an air inlet (4) opening into this interior volume, several air outlets (4) intended to convey air from the interior volume towards the cylinders of an engine, and a heat exchanger (8) arranged in the interior volume. The heat exchanger (8) comprises a stack of plates (10) of plastic material where adjacent plates (10) are arranged so as to define a set of intermediate spaces comprising closed intermediate spaces (12) in fluid communication to enable circulation of fluid through the stack of plates (10), and open intermediate spaces (14) configured to enable a passage of air through the stack of plates (10) from the air inlet (4) to the air outlets (6).","WO2017203143A1 2017-11-30
","MECAPLAST FRANCE
",22/05/2017,"FR3051837A1 2016-05-27
","ROSSIGNOL VINCENT
DEMANGEOT JƒRïME
WAYMEL GILLES
","F28D1/03
F02B29/04
F02M35/10
F02M35/104
F28D9/00
F28D21/00
F28F9/22
F28F21/02
F28F21/06
","F02B29/0462
F02B29/0475
F02M35/10026
F02M35/10052
F02M35/10262
F02M35/10268
F02M35/10321
F02M35/104
F28D1/0325
F28D1/0341
F28D9/0043
F28D9/0056
F28D2021/0082
F28F9/22
F28F21/02
F28F21/065
F28F2009/224
","FR3051837A1
WO2017203143A1
",,1,

TEMPERATURE-CONTROL DEVICE WITH SPRING ELEMENT,"The invention relates to a temperature-control device for cooling or heating a heat exchanger liquid. The invention is also directed to an oil cooler and to a hydraulic system having a temperature-control device according to the invention and to an internal combustion engine having a hydraulic system according to the invention, to an oil cooler according to the invention, and/or to a temperature-control device according to the invention. The temperature-control device (1) for cooling or heating a heat exchanger fluid has a base plate (200) and a heat exchanger element (800), wherein the base plate (200) has at least one throughflow opening (2) as an inlet or outlet for the heat exchanger fluid. Furthermore, said temperature-control device is characterized by a spring element (100) which has a spring plate (110) and a holding region (120) for the spring plate (110), which holding region is connected to the spring plate (110) and surrounds the latter at least in regions; a spring plate seat for abutment for the spring plate, and possibly a receiving region for receiving the spring element (100) in and/or adjacent to the base plate (200), wherein the spring plate (110) is, in a projection of the spring plate (110) perpendicular to the areal extent thereof, arranged within the throughflow opening (2).","WO2018002207A1 2018-01-04
","REINZ-DICHTUNGS-GMBH
",29/06/2017,"DE202016107299U 
WO2017001501A1 2016-06-29
WO2017001505A1 2016-06-29
","BUNTZ WERNER
PENDZIALEK MATTHIAS
","F16J15/06
F01M5/00
F01P11/00
F16H61/00
F16J15/08
F16K15/02
F16K15/14
","F16J15/064
F01M5/00
F01P11/00
F16J15/0825
F16K15/023
F16K15/144
","WO2018002207A1
",,1,

HEAT EXCHANGER WITH INTERLEAVED PASSAGES,A heat exchanger includes first fluid passages that each have a first inlet (14) that communicates into a first core passage and then a first outlet (18). The first inlet has a first inlet cross-sectional perimeter. The first core passage has a first core cross-sectional perimeter. Second fluid passages are interleaved with the first fluid passages. Each of the second passages have a second inlet (22) that communicates into a second core passage and then a second outlet (26). The second inlet has a second inlet cross-sectional perimeter. The second core passage has a second core cross-sectional perimeter. The first and second core cross-sectional perimeters are larger than their respective first and second inlet cross-sectional perimeters. The first and second core passages are undivided from their respective first and second inlets to their respective first and second outlets.,"EP3267137A2 2018-01-10
","HAMILTON SUNDSTRAND CORP
",07/07/2017,"US2018010864A1 2016-07-08
","STRANGE JEREMY M
ZAFETTI MARK A
","F28D9/00
F28F13/08
","F28F3/02
F28D9/005
F28D9/0093
F28F9/02
F28F13/08
","EP3267137A2
US2018010864A1
",,1,

THERMAL ENERGY DISTRIBUTION NETWORK,"The invention relates to a thermal energy exchange network (100) which includes at least one main circuit (110) that comprises at least one pipe (111) arranged between the intake point (112) and the outlet point (113) which are placed at separate locations of a water supply (140). The thermal energy storage and/or withdrawal area (130) contains at least the main circuit 110 with the pipe (111) thereof, which is unique, in this case. A plurality of secondary circuits (150), respectively assigned to at least one or to a plurality of users (160) of thermal energy, are grafted onto the main circuit (110) via a heat exchanger (170). Each secondary circuit (150) includes a loop of pipes (120) with an outward pipe (121) and a return pipe (122) which are connected to a heat exchanger (170). The users are connected individually to the corresponding secondary circuits (150), via a heat pump (151).","WO2018006183A1 2018-01-11
","CUENI MARCEL
GEINOZ FRAN‚OIS IGNACE
",03/07/2017,"CH712646A1 2016-07-04
","ORLANDO DAVID
GEINOZ FRAN‚OIS IGNACE
","F24D10/00
","F24D10/003
F24D2220/06
","CH712646A1
WO2018006183A1
",,1,

REINFORCED WATER CHAMBER HEATING DEVICE,"A reinforced water chamber heating device (1) has a body (2) made of a heat conducting material, for example aluminium, comprising an inner chamber (3) in which, when in use, a heating liquid circulates and connections (16) communicating with the chamber (3) and extending from the body (2); inside the chamber (3) there are ties (33) which extend between a pair of opposite walls (24, 25) of the chamber (3) and are integral with respective inner surfaces (26, 27) of both of the walls (24, 25).","WO2017212419A1 2017-12-14
","FONDITAL SPA
",07/06/2017,"ITUA20164173A 2016-06-07
","NIBOLI ORLANDO
","F28F3/04
F28D1/03
","F28D1/0308
F28D2021/0035
F28F3/044
","WO2017212419A1
",,5,

HEAT EXCHANGER-ACCUMULATOR,"The invention relates to a heat exchanger comprising a first free space (7) for a first fluid (3), a thermally conductive wall (11) which, at least locally, delimits said first free space (7), in such a way that an exchange of heat can occur between the first fluid and the thermally conductive wall (11) which is hollow and encloses a material (13) for storing thermal energy by accumulation of latent heat, by heat exchange with at least the first fluid. The first free space (7) is divided into at least two separated channels (7a, 7b) in which two streams of the first fluid (3) can circulate at the same time but separately, the thermally conductive wall (11) which encloses the thermal energy storage material (13) being interposed between the two channels (7a, 7b).","WO2017212198A4 2018-02-15
WO2017212198A1 2017-12-14
","HUTCHINSON
",09/06/2017,"FR3052549A1 2016-06-10
","CHAUVET BORIS
CHOPARD FABRICE
","F28D9/00
F01M5/02
F01P7/00
F28D20/00
F28D20/02
F28D21/00
F28F3/04
F28F9/00
","F28D9/0037
F01M5/02
F01P7/00
F28D9/0062
F28D9/0093
F28D20/02
F28D2020/0008
F28D2020/0013
F28D2021/0089
F28F3/046
F28F9/001
F28F2270/00
","FR3052549A1
WO2017212198A4
",,3,

METHOD FOR HEAT EXCHANGE AND CONDITIONING OF A HEAT EXCHANGER,"The invention relates to a method for heat exchange in which: - a) at a first time, in a thermal energy accumulator (260), an at least partially previously accumulated thermal energy is discharged into a first fluid (3), by heat exchange, - b) then, at a second later time, when the first fluid (3) has been heated to a higher temperature than the temperature of a second fluid (5), the second fluid (5) receives thermal energy by heat exchange with said first fluid (3) which then circulates on the other side of a first wall (11), which wall prevents the first and second fluids (3, 5) from mixing.","WO2017212201A4 2018-02-01
WO2017212201A1 2017-12-14
","HUTCHINSON
",09/06/2017,"FR3052548A1 2016-06-10
","CHAUVET BORIS
CHOPARD FABRICE
","F28D9/00
F28D20/00
F28D20/02
","F28D9/0037
F28D9/0093
F28D20/021
F28D2020/0008
F28D2020/0013
","FR3052548A1
WO2017212201A4
",,1,
